layers,smote,units,tune_idx
2.0,0.0,"(128, 128)",1
2.0,0.0,"(128, 256)",2
2.0,0.0,"(128, 512)",3
2.0,0.0,"(256, 128)",4
2.0,0.0,"(256, 256)",5
2.0,0.0,"(256, 512)",6
2.0,0.0,"(512, 128)",7
2.0,0.0,"(512, 256)",8
2.0,0.0,"(512, 512)",9
3.0,0.0,"(128, 128, 128)",10
3.0,0.0,"(128, 128, 256)",11
3.0,0.0,"(128, 128, 512)",12
3.0,0.0,"(128, 256, 128)",13
3.0,0.0,"(128, 256, 256)",14
3.0,0.0,"(128, 256, 512)",15
3.0,0.0,"(128, 512, 128)",16
3.0,0.0,"(128, 512, 256)",17
3.0,0.0,"(128, 512, 512)",18
3.0,0.0,"(256, 128, 128)",19
3.0,0.0,"(256, 128, 256)",20
3.0,0.0,"(256, 128, 512)",21
3.0,0.0,"(256, 256, 128)",22
3.0,0.0,"(256, 256, 256)",23
3.0,0.0,"(256, 256, 512)",24
3.0,0.0,"(256, 512, 128)",25
3.0,0.0,"(256, 512, 256)",26
3.0,0.0,"(256, 512, 512)",27
3.0,0.0,"(512, 128, 128)",28
3.0,0.0,"(512, 128, 256)",29
3.0,0.0,"(512, 128, 512)",30
3.0,0.0,"(512, 256, 128)",31
3.0,0.0,"(512, 256, 256)",32
3.0,0.0,"(512, 256, 512)",33
3.0,0.0,"(512, 512, 128)",34
3.0,0.0,"(512, 512, 256)",35
3.0,0.0,"(512, 512, 512)",36
4.0,0.0,"(128, 128, 128, 128)",37
4.0,0.0,"(128, 128, 128, 256)",38
4.0,0.0,"(128, 128, 128, 512)",39
4.0,0.0,"(128, 128, 256, 128)",40
4.0,0.0,"(128, 128, 256, 256)",41
4.0,0.0,"(128, 128, 256, 512)",42
4.0,0.0,"(128, 128, 512, 128)",43
4.0,0.0,"(128, 128, 512, 256)",44
4.0,0.0,"(128, 128, 512, 512)",45
4.0,0.0,"(128, 256, 128, 128)",46
4.0,0.0,"(128, 256, 128, 256)",47
4.0,0.0,"(128, 256, 128, 512)",48
4.0,0.0,"(128, 256, 256, 128)",49
4.0,0.0,"(128, 256, 256, 256)",50
4.0,0.0,"(128, 256, 256, 512)",51
4.0,0.0,"(128, 256, 512, 128)",52
4.0,0.0,"(128, 256, 512, 256)",53
4.0,0.0,"(128, 256, 512, 512)",54
4.0,0.0,"(128, 512, 128, 128)",55
4.0,0.0,"(128, 512, 128, 256)",56
4.0,0.0,"(128, 512, 128, 512)",57
4.0,0.0,"(128, 512, 256, 128)",58
4.0,0.0,"(128, 512, 256, 256)",59
4.0,0.0,"(128, 512, 256, 512)",60
4.0,0.0,"(128, 512, 512, 128)",61
4.0,0.0,"(128, 512, 512, 256)",62
4.0,0.0,"(128, 512, 512, 512)",63
4.0,0.0,"(256, 128, 128, 128)",64
4.0,0.0,"(256, 128, 128, 256)",65
4.0,0.0,"(256, 128, 128, 512)",66
4.0,0.0,"(256, 128, 256, 128)",67
4.0,0.0,"(256, 128, 256, 256)",68
4.0,0.0,"(256, 128, 256, 512)",69
4.0,0.0,"(256, 128, 512, 128)",70
4.0,0.0,"(256, 128, 512, 256)",71
4.0,0.0,"(256, 128, 512, 512)",72
4.0,0.0,"(256, 256, 128, 128)",73
4.0,0.0,"(256, 256, 128, 256)",74
4.0,0.0,"(256, 256, 128, 512)",75
4.0,0.0,"(256, 256, 256, 128)",76
4.0,0.0,"(256, 256, 256, 256)",77
4.0,0.0,"(256, 256, 256, 512)",78
4.0,0.0,"(256, 256, 512, 128)",79
4.0,0.0,"(256, 256, 512, 256)",80
4.0,0.0,"(256, 256, 512, 512)",81
4.0,0.0,"(256, 512, 128, 128)",82
4.0,0.0,"(256, 512, 128, 256)",83
4.0,0.0,"(256, 512, 128, 512)",84
4.0,0.0,"(256, 512, 256, 128)",85
4.0,0.0,"(256, 512, 256, 256)",86
4.0,0.0,"(256, 512, 256, 512)",87
4.0,0.0,"(256, 512, 512, 128)",88
4.0,0.0,"(256, 512, 512, 256)",89
4.0,0.0,"(256, 512, 512, 512)",90
4.0,0.0,"(512, 128, 128, 128)",91
4.0,0.0,"(512, 128, 128, 256)",92
4.0,0.0,"(512, 128, 128, 512)",93
4.0,0.0,"(512, 128, 256, 128)",94
4.0,0.0,"(512, 128, 256, 256)",95
4.0,0.0,"(512, 128, 256, 512)",96
4.0,0.0,"(512, 128, 512, 128)",97
4.0,0.0,"(512, 128, 512, 256)",98
4.0,0.0,"(512, 128, 512, 512)",99
4.0,0.0,"(512, 256, 128, 128)",100
4.0,0.0,"(512, 256, 128, 256)",101
4.0,0.0,"(512, 256, 128, 512)",102
4.0,0.0,"(512, 256, 256, 128)",103
4.0,0.0,"(512, 256, 256, 256)",104
4.0,0.0,"(512, 256, 256, 512)",105
4.0,0.0,"(512, 256, 512, 128)",106
4.0,0.0,"(512, 256, 512, 256)",107
4.0,0.0,"(512, 256, 512, 512)",108
4.0,0.0,"(512, 512, 128, 128)",109
4.0,0.0,"(512, 512, 128, 256)",110
4.0,0.0,"(512, 512, 128, 512)",111
4.0,0.0,"(512, 512, 256, 128)",112
4.0,0.0,"(512, 512, 256, 256)",113
4.0,0.0,"(512, 512, 256, 512)",114
4.0,0.0,"(512, 512, 512, 128)",115
4.0,0.0,"(512, 512, 512, 256)",116
4.0,0.0,"(512, 512, 512, 512)",117
2.0,1.0,"(128, 128)",118
2.0,1.0,"(128, 256)",119
2.0,1.0,"(128, 512)",120
2.0,1.0,"(256, 128)",121
2.0,1.0,"(256, 256)",122
2.0,1.0,"(256, 512)",123
2.0,1.0,"(512, 128)",124
2.0,1.0,"(512, 256)",125
2.0,1.0,"(512, 512)",126
3.0,1.0,"(128, 128, 128)",127
3.0,1.0,"(128, 128, 256)",128
3.0,1.0,"(128, 128, 512)",129
3.0,1.0,"(128, 256, 128)",130
3.0,1.0,"(128, 256, 256)",131
3.0,1.0,"(128, 256, 512)",132
3.0,1.0,"(128, 512, 128)",133
3.0,1.0,"(128, 512, 256)",134
3.0,1.0,"(128, 512, 512)",135
3.0,1.0,"(256, 128, 128)",136
3.0,1.0,"(256, 128, 256)",137
3.0,1.0,"(256, 128, 512)",138
3.0,1.0,"(256, 256, 128)",139
3.0,1.0,"(256, 256, 256)",140
3.0,1.0,"(256, 256, 512)",141
3.0,1.0,"(256, 512, 128)",142
3.0,1.0,"(256, 512, 256)",143
3.0,1.0,"(256, 512, 512)",144
3.0,1.0,"(512, 128, 128)",145
3.0,1.0,"(512, 128, 256)",146
3.0,1.0,"(512, 128, 512)",147
3.0,1.0,"(512, 256, 128)",148
3.0,1.0,"(512, 256, 256)",149
3.0,1.0,"(512, 256, 512)",150
3.0,1.0,"(512, 512, 128)",151
3.0,1.0,"(512, 512, 256)",152
3.0,1.0,"(512, 512, 512)",153
4.0,1.0,"(128, 128, 128, 128)",154
4.0,1.0,"(128, 128, 128, 256)",155
4.0,1.0,"(128, 128, 128, 512)",156
4.0,1.0,"(128, 128, 256, 128)",157
4.0,1.0,"(128, 128, 256, 256)",158
4.0,1.0,"(128, 128, 256, 512)",159
4.0,1.0,"(128, 128, 512, 128)",160
4.0,1.0,"(128, 128, 512, 256)",161
4.0,1.0,"(128, 128, 512, 512)",162
4.0,1.0,"(128, 256, 128, 128)",163
4.0,1.0,"(128, 256, 128, 256)",164
4.0,1.0,"(128, 256, 128, 512)",165
4.0,1.0,"(128, 256, 256, 128)",166
4.0,1.0,"(128, 256, 256, 256)",167
4.0,1.0,"(128, 256, 256, 512)",168
4.0,1.0,"(128, 256, 512, 128)",169
4.0,1.0,"(128, 256, 512, 256)",170
4.0,1.0,"(128, 256, 512, 512)",171
4.0,1.0,"(128, 512, 128, 128)",172
4.0,1.0,"(128, 512, 128, 256)",173
4.0,1.0,"(128, 512, 128, 512)",174
4.0,1.0,"(128, 512, 256, 128)",175
4.0,1.0,"(128, 512, 256, 256)",176
4.0,1.0,"(128, 512, 256, 512)",177
4.0,1.0,"(128, 512, 512, 128)",178
4.0,1.0,"(128, 512, 512, 256)",179
4.0,1.0,"(128, 512, 512, 512)",180
4.0,1.0,"(256, 128, 128, 128)",181
4.0,1.0,"(256, 128, 128, 256)",182
4.0,1.0,"(256, 128, 128, 512)",183
4.0,1.0,"(256, 128, 256, 128)",184
4.0,1.0,"(256, 128, 256, 256)",185
4.0,1.0,"(256, 128, 256, 512)",186
4.0,1.0,"(256, 128, 512, 128)",187
4.0,1.0,"(256, 128, 512, 256)",188
4.0,1.0,"(256, 128, 512, 512)",189
4.0,1.0,"(256, 256, 128, 128)",190
4.0,1.0,"(256, 256, 128, 256)",191
4.0,1.0,"(256, 256, 128, 512)",192
4.0,1.0,"(256, 256, 256, 128)",193
4.0,1.0,"(256, 256, 256, 256)",194
4.0,1.0,"(256, 256, 256, 512)",195
4.0,1.0,"(256, 256, 512, 128)",196
4.0,1.0,"(256, 256, 512, 256)",197
4.0,1.0,"(256, 256, 512, 512)",198
4.0,1.0,"(256, 512, 128, 128)",199
4.0,1.0,"(256, 512, 128, 256)",200
4.0,1.0,"(256, 512, 128, 512)",201
4.0,1.0,"(256, 512, 256, 128)",202
4.0,1.0,"(256, 512, 256, 256)",203
4.0,1.0,"(256, 512, 256, 512)",204
4.0,1.0,"(256, 512, 512, 128)",205
4.0,1.0,"(256, 512, 512, 256)",206
4.0,1.0,"(256, 512, 512, 512)",207
4.0,1.0,"(512, 128, 128, 128)",208
4.0,1.0,"(512, 128, 128, 256)",209
4.0,1.0,"(512, 128, 128, 512)",210
4.0,1.0,"(512, 128, 256, 128)",211
4.0,1.0,"(512, 128, 256, 256)",212
4.0,1.0,"(512, 128, 256, 512)",213
4.0,1.0,"(512, 128, 512, 128)",214
4.0,1.0,"(512, 128, 512, 256)",215
4.0,1.0,"(512, 128, 512, 512)",216
4.0,1.0,"(512, 256, 128, 128)",217
4.0,1.0,"(512, 256, 128, 256)",218
4.0,1.0,"(512, 256, 128, 512)",219
4.0,1.0,"(512, 256, 256, 128)",220
4.0,1.0,"(512, 256, 256, 256)",221
4.0,1.0,"(512, 256, 256, 512)",222
4.0,1.0,"(512, 256, 512, 128)",223
4.0,1.0,"(512, 256, 512, 256)",224
4.0,1.0,"(512, 256, 512, 512)",225
4.0,1.0,"(512, 512, 128, 128)",226
4.0,1.0,"(512, 512, 128, 256)",227
4.0,1.0,"(512, 512, 128, 512)",228
4.0,1.0,"(512, 512, 256, 128)",229
4.0,1.0,"(512, 512, 256, 256)",230
4.0,1.0,"(512, 512, 256, 512)",231
4.0,1.0,"(512, 512, 512, 128)",232
4.0,1.0,"(512, 512, 512, 256)",233
4.0,1.0,"(512, 512, 512, 512)",234
